id,roberta_neg,roberta_neu,roberta_pos,author,content,country,date_time,language,number_of_likes,number_of_shares
8.19633e+17,0.6836216,0.29627183,0.020106645,katyperry,Is history repeating itself...?#DONTNORMALIZEHATE https://t.co/ngG11quhmK,,12/01/2017 19:52,en,7900,3472
8.19101e+17,0.0012226271,0.020194152,0.9785832,katyperry,@barackobama Thank you for your incredible grace in leadership and for being an exceptional… https://t.co/ZuQLZpt6df,,11/01/2017 08:38,en,3689,1380
8.19014e+17,0.053735998,0.7448807,0.20138325,katyperry,Life goals. https://t.co/XIn1qKMKQl,,11/01/2017 02:52,en,10341,2387
8.19012e+17,0.0030524374,0.22674583,0.7702018,katyperry,Me right now 🙏🏻 https://t.co/gW55C1wrwd,,11/01/2017 02:44,en,10774,2458
8.18689e+17,0.0011467551,0.040024627,0.95882857,katyperry,SISTERS ARE DOIN' IT FOR THEMSELVES! 🙌🏻💪🏻❤️ https://t.co/0shuUYUBEv,,10/01/2017 05:22,en,17620,4655
8.18261e+17,0.00056699116,0.020741446,0.9786916,katyperry,happy 96th gma #fourmoreyears! 🎈 @ LACMA Los Angeles County Museum of Art https://t.co/M9n7X8xdmA,,09/01/2017 01:00,en,8242,2164
8.154e+17,0.0049967617,0.38074464,0.6142586,katyperry,2017 resolution: to embody authenticity!,,01/01/2017 03:31,en,23662,8430
8.154e+17,0.0049967617,0.38074464,0.6142586,Twitter,You write the story of 2017. #HappyNewYear https://t.co/cyvz6VvQ3n,,01/01/2017 03:31,en,6834,3382
8.13596e+17,0.0942444,0.85432726,0.051428393,katyperry,sisters. https://t.co/5ZE21x2aNk,,27/12/2016 04:04,en,9324,2637
8.13121e+17,0.0010482075,0.0115364855,0.98741525,katyperry,Happy Holidays! Sending love and light to every corner of the earth 🎁,,25/12/2016 20:35,en,23205,7419
8.12897e+17,0.7347097,0.229117,0.036173332,katyperry,"Damn, it's hard to wrap presents when you're drunk. cc @santa",,25/12/2016 05:45,en,20410,5042
8.12696e+17,0.0024507216,0.070538975,0.9270103,katyperry,When my whole fam tryna have a peaceful holiday 💁🏻hehehe https://t.co/fEyq3hzdlz,,24/12/2016 16:26,en,8608,2183
8.12368e+17,0.025380392,0.54774857,0.42687103,katyperry,When your holiday shopping is woke af ❗️blklivesmatter https://t.co/srZZj7vHyc https://t.co/KWVYi8yi8L,,23/12/2016 18:42,en,6713,1948
8.12121e+17,0.24363244,0.73890334,0.017464185,katyperry,@shannonwoodward Have you been hacked,,23/12/2016 02:22,en,2541,849
8.11709e+17,0.00072255736,0.03785926,0.96141815,katyperry,This week Santa and I got to spread some cheer and have a carol sing-a-long with some beautiful… https://t.co/vL1BIj4sCZ,,21/12/2016 23:05,en,8592,2305
8.11703e+17,0.0009266724,0.012135388,0.9869379,katyperry,Love the music therapy program at CHLA! https://t.co/XPTZrF3XXA,,21/12/2016 22:42,en,11266,3064
8.09676e+17,0.066716954,0.8347705,0.09851247,katyperry,For real tho https://t.co/jxMV9Q6WCs,,16/12/2016 08:24,en,12059,3589
8.06424e+17,0.00096334994,0.012938701,0.98609793,katyperry,I can't wait to recreate this on a tour we do together in the next 10 years pls thnx https://t.co/PQz0nCUNV6,,07/12/2016 09:03,en,8985,2446
8.06326e+17,0.006236128,0.20587932,0.7878846,katyperry,I wanna adopt him ILHSM https://t.co/5Sr9wHnIEY,,07/12/2016 02:35,en,6745,1868
8.06075e+17,0.0012512318,0.01962744,0.97912127,katyperry,@jessesaintjohn imma make a best of 16' Spotify playlist and half of these are on there. I love our taste.,,06/12/2016 09:56,en,2527,819
8.06074e+17,0.066517286,0.86076707,0.072715655,katyperry,@jessesaintjohn @kanyewest FADE DOE,,06/12/2016 09:54,en,2356,795
8.06074e+17,0.066517286,0.86076707,0.072715655,katyperry,"Omg deep cut, agreed https://t.co/0yGlkuo3bJ",,06/12/2016 09:53,en,6195,1748
8.06074e+17,0.066517286,0.86076707,0.072715655,katyperry,Same https://t.co/98vBUp7BzI,,06/12/2016 09:52,en,4236,1143
8.06074e+17,0.066517286,0.86076707,0.072715655,katyperry,Fully https://t.co/Iii4a58tPN,,06/12/2016 09:52,en,4473,1226
8.05537e+17,0.0014527729,0.031392865,0.9671544,katyperry,PROOF THAT YOUR VOICE ACTUALLY MATTERS! 🙏🏼🙌🏼💪🏼😭 https://t.co/tAwL0a9y9E,,04/12/2016 22:21,en,12309,3395
8.0532e+17,0.032631118,0.74046296,0.2269059,katyperry,This holiday season be the girl that takes jump photos at the mall ☑️ wears activewear at night… https://t.co/0eGYnKF5fk,,04/12/2016 07:58,en,8891,2275
8.04423e+17,0.025143588,0.5580589,0.41679746,katyperry,"Slowly, I am coming down from the beautiful cloud that was Tuesday night's unicef Snowflake… https://t.co/Bia5wug56I",,01/12/2016 20:33,en,9671,2613
8.04221e+17,0.16442378,0.44280666,0.39276958,katyperry,I dare you to find a better live vocal performance than this timeless masterpiece: https://t.co/J1gW29kC7J #jenniferholliday,,01/12/2016 07:08,en,6723,1670
8.01916e+17,0.009258783,0.4785229,0.51221836,katyperry,This #Thanksgiving #IStandWithStandingRock text WATER to 82623 to help now! Sign the petition here: https://t.co/GFhQKfsB0i,,24/11/2016 22:31,en,7115,2278
8.01912e+17,0.009976314,0.57725304,0.4127707,katyperry,"On #Thanksgiving, a day with complex origins, I want to speak up in support of the Standing Rock… https://t.co/CKyB7H3LCD",,24/11/2016 22:14,en,9457,2705
8.0155e+17,0.012368866,0.5239059,0.46372527,katyperry,"Heading into my family 🦃-Day, I'm mindful about building a bridge thru peaceful convo. Try this guide from @nytimes: https://t.co/mzBbNw1ZHD",,23/11/2016 22:16,en,7340,2025
8.00786e+17,0.0016067976,0.03730816,0.9610851,katyperry,great tweet 🏆 https://t.co/Z6QeywsBpt,,21/11/2016 19:41,en,7906,2244
8.00786e+17,0.0016067976,0.03730816,0.9610851,TheEllenShow,"I learned a lot about Emma Stone. Or as I call her now, Sweaty Stone. https://t.co/ehL9zUxaAv",,21/11/2016 19:38,en,6042,827
8.00053e+17,0.836988,0.1519367,0.01107531,katyperry,". @realDonaldTrump how bout you start with an apology for your divisive, racist, xenophobic rhetoric?
#thanksgivingdayclapback",,19/11/2016 19:08,en,28217,11447
7.99891e+17,0.0028799796,0.19687378,0.8002462,katyperry,Caught a big one this week 🎣 ...,,19/11/2016 08:23,en,13734,4721
7.99862e+17,0.06150123,0.74435943,0.19413938,katyperry,Let it be known!  https://t.co/AXmAjmNMgc,,19/11/2016 06:28,en,9069,2471
7.99155e+17,0.0025613587,0.15144537,0.8459933,katyperry,Back to work because: ALL OF THE ABOVE 💪🏼 https://t.co/dUvh7jN8Oi,,17/11/2016 07:40,en,8324,2485
7.99026e+17,0.042720396,0.7123839,0.24489565,katyperry,Operate in the light.,,16/11/2016 23:05,en,13320,5118
7.98218e+17,0.34877095,0.60295755,0.048271507,katyperry,Confused? Overwhelmed? Here's the brief you need to get the gist: https://t.co/4dwGgeRwMT,,14/11/2016 17:34,en,9516,2613
7.98218e+17,0.34877095,0.60295755,0.048271507,YouTube,"Introducing a new show about ghosts and … wait, dude stop! #ParanormalActionSquad #SasquatchProblems https://t.co/ZDtx0vUChy",,14/11/2016 17:36,en,1868,334
7.98069e+17,0.0027317968,0.5261739,0.47109437,katyperry,At midnight we MANIFEST ✨🌚✨,,14/11/2016 07:44,en,15555,4497
7.97666e+17,0.0010491989,0.045736887,0.9532139,katyperry,YES LA KEEP LEADING THE WAY ❤️ https://t.co/4LcjvCDJ4U,,13/11/2016 05:02,en,22532,7136
7.97666e+17,0.0010491989,0.045736887,0.9532139,cnnbrk,Australia says it will transfer hundreds of refugees to the US in a 'one-off' deal. https://t.co/3DjmRo61dA,,13/11/2016 05:00,en,477,327
7.97247e+17,0.019586924,0.47570866,0.5047044,katyperry,"It's time to turn words into action❗️There are so many steps to take, but my first vow is to… https://t.co/1DwETGXbed",,12/11/2016 01:19,en,12717,3462
7.97166e+17,0.0020322022,0.046461042,0.95150673,katyperry,"Thank you to the men and women protecting Freedom, Liberty, and Equality for all. 🙏🏼🇺🇸 https://t.co/0LcB7VYDrx",,11/11/2016 19:55,en,18210,4997
7.96938e+17,0.23178779,0.6971243,0.07108785,katyperry,"From Pastor John Pavlovitz ""This is not about losing an election"" https://t.co/vVxyZvkyYI",,11/11/2016 04:51,en,8180,2402
7.96926e+17,0.021195702,0.41228822,0.56651604,katyperry,Lets also work on the hearts and minds of this country and that is how real change will begin.,,11/11/2016 04:02,en,19186,5747
7.96925e+17,0.05738894,0.69107026,0.2515408,katyperry,"Remember to take care of your mental health. Talk with counselors/therapists/ur tribe. Lean on your friends, don't stop communicating.",,11/11/2016 04:00,en,26395,9851
7.96631e+17,0.01068179,0.175437,0.81388116,katyperry,We need more courageous men like this to speak up and say that there is GREAT examples of men out there: https://t.co/daRuHfysSm,,10/11/2016 08:30,en,16456,6295
7.96602e+17,0.010443694,0.18395299,0.8056033,katyperry,🙏🏼🇺🇸PEACEFULLY PROTEST🇺🇸🙏🏼,,10/11/2016 06:33,en,37850,12448
